Area,ShopName,Address,lng,lat
인천광역시,백운현대점,인천 부평구 경원대로 1238 이화빌딩 1층,126.7085064,37.4872335
서울특별시,목동41타워점,서울시 양천구 목동동로 293 1층 1-10호(목동 현대41타워),126.8757769,37.5281774
서울특별시,논현영동시장점,서울 강남구 논현동 164-11(강남대로 506) 1층 109호,127.0235258,37.5075095
경기도,구리인창점,경기 구리시 인창동 412-12 (건원대로91),127.1382069,37.6090616
대구광역시,대구내당점,대구 서구 내당동 219-15번지 1층,128.5616340,35.8595974
전라북도,익산부송오투점,익산 부송동 216-84 101호/102호,126.9976917,35.9603808
경기도,남양주사능점,경기 남양주시 진건읍 용정리 768-7(사릉로442번길 25) 1층 101호,127.1776904,37.6591477
서울특별시,천호힐데스하임점,서울 강동구 올림픽로 78길 30 (천호동 437-5) 힐데스하임천호 근생 8 9호,127.1258862,37.5419304
전라북도,전주에코세병호점,전라북도 전주시 덕진구 송천동2가 1301-2,127.1340538,35.8791133
대전광역시,대전태평쌍용예가점,대전 중구 평촌로 102 (유천동) 1층,127.3981369,36.3224854
경기도,다산현대캠퍼스몰점,경기도 남양주시 다산동 6143 (다산순환로 20) 1층 E01-22호,127.1520129,37.6132992
경기도,부천옥길호반점,경기도 부천시 옥길동 777-4 서영아너시티 1차 108호,126.8127057,37.4621745
부산광역시,부산사직점,부산 동래구 사직북로 4 자이언츠파크 102호,129.0613598,35.1962582
경기도,일산하이파크시티점,경기 고양시 일산서구 덕이동 1541(하이파크3로78번길) 리더스프라자 101호,126.7532150,37.6987324
대구광역시,대구내당점,대구 서구 내당동 219-15번지 1층,128.5616340,35.8595974
전라북도,익산부송오투점,익산 부송동 216-84 101호/102호,126.9976917,35.9603808
경기도,남양주사능점,경기 남양주시 진건읍 용정리 768-7(사릉로442번길 25) 1층 101호,127.1776904,37.6591477
서울특별시,천호힐데스하임점,서울 강동구 올림픽로 78길 30 (천호동 437-5) 힐데스하임천호 근생 8 9호,127.1258862,37.5419304
전라북도,전주에코세병호점,전라북도 전주시 덕진구 송천동2가 1301-2,127.1340538,35.8791133
대전광역시,대전태평쌍용예가점,대전 중구 평촌로 102 (유천동) 1층,127.3981369,36.3224854
경기도,다산현대캠퍼스몰점,경기도 남양주시 다산동 6143 (다산순환로 20) 1층 E01-22호,127.1520129,37.6132992
경기도,부천옥길호반점,경기도 부천시 옥길동 777-4 서영아너시티 1차 108호,126.8127057,37.4621745
