index,title,address,x,y
75,태릉입구역점,서울 노원구 동일로 1000 (공릉동) 1층,127.0755262,37.6194890
76,피자앤치킨 화랑대역점,서울 노원구 공릉동 240-220 101호,127.0824418,37.6215444
77,덕성여대점,서울특별시 강북구 수유2동 279-69,127.0145972,37.6484391
78,미아사거리역점,"서울특별시 강북구 미아동  54-54 1층,B1층",127.0310440,37.6137740
79,삼양사거리점,서울특별시 강북구 솔샘로 254,127.0207598,37.6193358
80,수유역점,서울특별시 강북구 도봉로87길 7,127.0250664,37.6381851
81,경희대로점,"서울특별시 동대문구 경희대로 5-1, 2층",127.0521914,37.5921536
82,답십리역점,"서울 동대문구 천호대로 289 (답십리동, 한일노벨리아) 102,103호",127.0532845,37.5668989
83,동대문장안점,서울특별시 동대문구 장안동  335-5,127.0739369,37.5719704
84,서울시립대점,서울특별시 동대문구 전농동 124-2 (서울시립대로 147 (전농동 103호),127.0531717,37.5832339
85,서울외대점,서울특별시 동대문구 이문로 108 2층,127.0603081,37.5961888
86,신설동역점,서울특별시 동대문구 왕산로 11-1,127.0248426,37.5764649
87,홈플러스동대문점,서울특별시 동대문구 천호대로 133,127.0388087,37.5745621
88,휘경여고점,"서울특별시 동대문구 한천로 242, 1층",127.0686061,37.5825002
89,휘경점,서울특별시 동대문구 휘경2동 269-26,127.0613510,37.5896033
90,맘스피치 중랑신내점,서울 중랑구 신내동 492-24 1층,127.1002537,37.6006925
91,면목점,서울특별시 중랑구 면목동 617-3번지 1층,127.0877705,37.5794480
92,상봉역점,서울 중랑구 상봉동 100-7 ,127.0861769,37.5968557
93,서일대점,서울특별시 중랑구 용마산로 408(면목동 51-1),127.0962506,37.5877960
94,중랑역점,"서울특별시 중랑구 망우로 211,1층",127.0762077,37.5942753
95,중화역점,서울특별시 중랑구 중화동  285-11,127.0795369,37.6030094
96,강남논현점,서울특별시 강남구 강남대로120길 47,127.0272491,37.5079472
97,강남대성학원점,서울특별시 강남구 강남대로78길 33 1층 101호,127.0320224,37.4956509
98,강남선릉점,"서울특별시 강남구 선릉로93길 32, 1층",127.0460538,37.5047276
99,강남세곡점,"서울특별시 강남구 자곡로 201, 1층",127.1047297,37.4753785
100,강남압구정점,서울특별시 강남구 신사동  579-6,127.0271600,37.5260004
101,강남역점,서울특별시 강남구 역삼동  619-15,127.0269042,37.5016412
102,논현아이파크점,"서울특별시 강남구 논현동  225-9, 103동 117호",127.0359609,37.5105435
103,대치동학원가점,"서울특별시 강남구 삼성로 229,1층",127.0611387,37.4976011
104,매봉역점,서울특별시 강남구 남부순환로 2732,127.0448818,37.4858025
105,삼성중앙역점,서울특별시 강남구 삼성동  50-2,127.0512543,37.5127609
106,양재역점,서울특별시 강남구 도곡동  956,127.0366244,37.4853347
107,포이사거리점,서울특별시 강남구 개포동  1229-6,127.0456169,37.4771282
108,한티역점,"서울특별시 강남구 대치동  923-23, 1층",127.0532851,37.4980928
109,서래마을점,서울 서초구 반포동 91-10 2층,126.9985361,37.4983609
110,서초교대점,서울특별시 서초구 서초동  1671-5,127.0154485,37.4934773
111,서초중앙로점,"서울특별시 서초구 반포동  32-2, 2층",127.0120080,37.5022494
112,구산역점,서울특별시 은평구 역촌동  7-1,126.9170969,37.6101100
113,구파발역점,서울특별시 은평구 진관3로 21 (진관동) 엘크루상가 124호,126.9191948,37.6394555
114,은평갈현점,서울특별시 은평구 갈현동  460-1,126.9187143,37.6176108
115,은평구청점,서울특별시 은평구 녹번동  208,126.9289740,37.6016906
116,은평불광1호점,서울특별시 은평구 불광로 80,126.9323328,37.6139815
117,은평응암점,서울특별시 은평구 증산로 473,126.9153039,37.5984080
118,고대타이거플라자점,서울특별시 성북구 안암동5가 1-2,127.0323905,37.5887558
119,고대하나스퀘어점,서울특별시 성북구 안암로 145 고려대학교 자연캠퍼스 B1,127.0318122,37.5899103
120,국민대점,서울특별시 성북구 정릉동 861-1 공학관 1층,126.9965717,37.6111612
121,동덕여대점,서울특별시 성북구 화랑로13길 7 (하월곡동 18-14),127.0425437,37.6037732
122,성북종암점,서울특별시 성북구 종암동  14-2,127.0351707,37.5980529
123,신서경대점,서울특별시 성북구 정릉동  227-178,127.0139761,37.6113545
124,신성신여대점,"서울특별시 성북구 동소문로 22길 30, 2층",127.0178767,37.5916777
125,장위뉴타운점,서울 성북구 돌곶이로40길 46 (장위동 꿈의숲 아이파크) 703,127.0496134,37.6198290
126,한성대입구역점,서울특별시 성북구 삼선교로 8-1(삼선동1가 8-1) 1층,127.0068321,37.5877949
127,동국대점,서울 중구 서애로1길 11 (충무로5가) ,126.9985981,37.5613426
128,동대문현대시티점,서울특별시 중구 장충단로13길  20 B1,127.0076665,37.5687346
129,서울시청점,"서울특별시 중구 무교로 12, 2층",126.9793882,37.5670515
